file,class,method,variable,usage
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\passwordless\Passwordless.java,io.supertokens.passwordless.Passwordless$ConsumeCodeResponse,"ConsumeCodeResponse/5[boolean,io.supertokens.passwordless.AuthRecipeUserInfo,java.lang.String,java.lang.String,io.supertokens.passwordless.PasswordlessDevice]",phoneNumber,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\passwordless\Passwordless.java,io.supertokens.passwordless.Passwordless$ConsumeCodeResponse,"ConsumeCodeResponse/5[boolean,io.supertokens.passwordless.AuthRecipeUserInfo,java.lang.String,java.lang.String,io.supertokens.passwordless.PasswordlessDevice]",user,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\passwordless\Passwordless.java,io.supertokens.passwordless.Passwordless$ConsumeCodeResponse,"ConsumeCodeResponse/5[boolean,io.supertokens.passwordless.AuthRecipeUserInfo,java.lang.String,java.lang.String,io.supertokens.passwordless.PasswordlessDevice]",createdNewUser,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\passwordless\Passwordless.java,io.supertokens.passwordless.Passwordless$ConsumeCodeResponse,"ConsumeCodeResponse/5[boolean,io.supertokens.passwordless.AuthRecipeUserInfo,java.lang.String,java.lang.String,io.supertokens.passwordless.PasswordlessDevice]",email,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\passwordless\Passwordless.java,io.supertokens.passwordless.Passwordless$ConsumeCodeResponse,"ConsumeCodeResponse/5[boolean,io.supertokens.passwordless.AuthRecipeUserInfo,java.lang.String,java.lang.String,io.supertokens.passwordless.PasswordlessDevice]",consumedDevice,3
C:\User\pavan\Projects\supertokens-core\cli\src\main\java\io\supertokens\cli\httpRequest\HTTPRequest.java,io.supertokens.cli.httpRequest.HTTPRequest,"sendGETRequest/3[java.lang.String,java.util.Map<java.lang.String,java.lang.String>,java.lang.Integer]",STATUS_CODE_ERROR_THRESHOLD,2
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\cronjobs\deleteExpiredDashboardSessions\DeleteExpiredDashboardSessions.java,io.supertokens.cronjobs.deleteExpiredDashboardSessions.DeleteExpiredDashboardSessions,"init/2[io.supertokens.Main,java.util.List<java.util.List<io.supertokens.cronjobs.deleteExpiredDashboardSessions.TenantIdentifier>>]",RESOURCE_KEY,1
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\cronjobs\deleteExpiredDashboardSessions\DeleteExpiredDashboardSessions.java,io.supertokens.cronjobs.deleteExpiredDashboardSessions.DeleteExpiredDashboardSessions,getInstance/1[io.supertokens.Main],RESOURCE_KEY,1
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\cronjobs\deleteExpiredDashboardSessions\DeleteExpiredDashboardSessions.java,io.supertokens.cronjobs.deleteExpiredDashboardSessions.DeleteExpiredDashboardSessions,getIntervalTimeSeconds/0,RESOURCE_KEY,1
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,fromHashString/1[java.lang.String],FIREBASE_SCRYPT_PREFIX,1
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,fromHashString/1[java.lang.String],FIREBASE_SCRYPT_ROUNDS_SEPARATOR,2
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,fromHashString/1[java.lang.String],FIREBASE_SCRYPT_SALT_SEPARATOR,2
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,fromHashString/1[java.lang.String],FIREBASE_SCRYPT_MEM_COST_SEPARATOR,2
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,fromHashString/1[java.lang.String],FIREBASE_SCRYPT_SEPARATOR,1
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,"ParsedFirebaseSCryptResponse/5[java.lang.String,java.lang.String,java.lang.String,int,int]",memCost,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,"ParsedFirebaseSCryptResponse/5[java.lang.String,java.lang.String,java.lang.String,int,int]",salt,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,"ParsedFirebaseSCryptResponse/5[java.lang.String,java.lang.String,java.lang.String,int,int]",saltSeparator,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,"ParsedFirebaseSCryptResponse/5[java.lang.String,java.lang.String,java.lang.String,int,int]",passwordHash,3
C:\User\pavan\Projects\supertokens-core\src\main\java\io\supertokens\emailpassword\ParsedFirebaseSCryptResponse.java,io.supertokens.emailpassword.ParsedFirebaseSCryptResponse,"ParsedFirebaseSCryptResponse/5[java.lang.String,java.lang.String,java.lang.String,int,int]",rounds,3
C:\User\pavan\Projects\supertokens-core\src\test\java\io\supertokens\test\multitenant\api\TestTenantUserAssociation.java,io.supertokens.test.multitenant.api.TestTenantUserAssociation,testThatDisassociateUserWithUseridMappingFromWrongTenantDoesNotWork/0,process,4
C:\User\pavan\Projects\supertokens-core\src\test\java\io\supertokens\test\multitenant\api\TestTenantUserAssociation.java,io.supertokens.test.multitenant.api.TestTenantUserAssociation,testUserDisassociationForNotAuthRecipes/0,process,2
